Tarih(yil_ay);Saat;YukTahminPlan(MWh);PTF(TL/MWh);SMF(TL/MWh);KGUP(MWh);YAL0(MWh);YAL1(MWh);YAT0(MWh);YAT1(MWh);YAL TeslimEdilemeyenMiktar(MWh);YAT TeslimEdilemeyenMiktar(MWh);PFK Fiyat;SFK Fiyat;Column1
201802;13;40000;20479;14000;3494194;0;0;974384;0;0;211447;5890;4690;
201802;14;40300;21596;13000;3535843;0;0;1099118;0;0;227949;5890;4690;
201802;15;39900;21586;13000;3491325;0;0;1335000;0;0;210077;5890;4690;
201802;16;40300;21741;13000;3548195;37500;0;1417000;0;35000;98305;5890;4589;
201802;17;41000;21693;13000;3596051;0;0;1062450;0;0;101420;5890;4589;
201802;18;41200;21625;13000;3636819;0;0;922417;0;0;47970;5890;4589;
201802;19;40000;17575;13000;3575678;0;0;236533;0;0;24400;5890;4589;
201802;20;39000;18399;12727;3476177;0;0;591500;0;0;83670;5490;4501;
201802;21;37900;18398;18398;3378518;;;;;;;5490;4501;
201802;22;37200;18999;14000;3337963;0;0;474217;0;0;65512;5490;4501;
201802;23;36000;18190;14000;3222434;0;0;237417;0;0;10597;5490;4501;
201802;0;33400;19175;13917;3050615;0;0;952150;0;0;116280;4480;4780;
201802;1;31600;17749;13749;2811190;0;0;511767;0;0;110060;4480;4780;
201802;2;30300;17964;13964;2688532;0;0;510000;0;0;100290;4480;4780;
201802;3;29500;16200;13153;2617289;0;0;370000;0;0;55780;4480;4780;
201802;4;29400;15700;12653;2602013;0;0;315000;0;0;43600;4990;5414;
201802;5;29700;16200;12200;2642255;0;0;477000;0;0;42480;4990;5414;
201802;6;30700;16899;13853;2722107;0;0;437049;0;0;37360;4990;5414;
201802;7;33400;18498;18500;2929980;325917;0;38133;0;103553;0;4990;5414;
201802;8;37900;18190;19190;3294172;1414483;0;195584;0;273759;0;5990;5700;
201802;9;41000;21629;22600;3549117;1014235;0;62067;0;293455;0;5990;5700;
201802;10;41600;21593;21593;3565925;0;0;79899;0;0;1000;5990;5700;
201802;11;41900;21569;21569;3572525;0;0;193899;0;0;;5990;5700;
201802;12;40500;18190;12500;3467783;0;0;973652;0;0;133003;5990;4798;
201802;13;40900;20480;12576;3484467;0;0;1544266;0;0;115412;5990;4798;
201802;14;41200;21543;12727;3529886;0;0;1635000;0;0;92210;5990;4798;
201802;15;41200;21548;12727;3503733;0;0;1571000;0;0;139480;5990;4798;
201802;16;41400;21693;13000;3528987;0;0;1625000;0;0;190570;5990;4549;
201802;17;41700;21606;12727;3590274;0;0;1463000;0;0;120700;5990;4549;
201802;18;41300;21747;15760;3658881;0;0;632000;0;0;55260;5990;4549;
201802;19;40000;21513;21513;3600501;275000;0;0;0;22300;0;5990;4549;
201802;20;39000;21558;21558;3496500;123750;0;0;0;8700;0;5490;4520;
201802;21;37800;21480;21480;3400777;;;;;;;5490;4520;
201802;22;37300;19000;19000;3384364;;;;;;;5490;4520;
201802;23;35700;18999;15100;3256853;0;0;397850;0;0;63218;5490;4520;
201802;0;33500;20019;12933;3038960;0;0;1036717;0;0;91022;4480;4212;
201802;1;31300;17698;17698;2811597;0;0;312067;0;0;19800;4480;4212;
201802;2;29800;14999;14999;2671543;480883;0;0;0;208853;0;4480;4212;
201802;3;28800;16199;16199;2598725;515000;0;0;0;300990;0;4480;4212;
201802;4;28600;14998;15998;2580387;698850;0;0;0;285398;0;4990;3980;
201802;5;28800;12999;12999;2612821;;;;;;;4990;3980;
201802;6;29800;14999;14999;2688278;411250;0;0;0;210410;0;4990;3980;
201802;7;31900;19495;19495;2886492;1498667;0;0;0;854797;0;4990;3980;
201802;8;36100;20000;20500;3322281;1533865;0;144800;0;313122;0;4990;5892;
201802;9;38700;21643;21643;3548302;605701;0;162232;0;94018;4110;4990;5892;
201802;10;39000;21583;21583;3568195;0;0;428000;0;0;15000;4990;5892;
201802;11;39100;21539;17251;3580188;0;0;983299;0;0;198770;4990;5892;
201802;12;37700;17499;12933;3398764;0;0;1887150;0;0;510531;4990;5679;
201802;13;37700;17500;12933;3354265;0;0;2342132;0;0;580243;4990;5679;
201802;14;37700;17506;17506;3384244;0;0;359182;0;0;85390;4990;5679;
201802;15;37500;17021;17021;3356117;0;0;138000;0;0;70840;4990;5679;
201802;16;37700;19506;19506;3376979;116666;0;236000;0;0;79640;4990;5814;
201802;17;37700;16900;17400;3410988;223667;0;25300;0;15220;2047;4990;5814;
201802;18;38700;16900;17890;3495304;616150;0;0;0;295602;0;4990;5814;
201802;19;38300;16700;18500;3437298;1924000;0;0;0;507737;0;4990;5814;
201802;20;37800;18979;18979;3335323;1424716;0;0;0;65240;0;4480;4319;
201802;21;36700;17999;17999;3271597;940800;0;0;0;70800;0;4480;4319;
201802;22;36100;17299;17299;3253085;432000;0;0;0;32000;0;4480;4319;
201802;23;34800;16199;17900;3167979;1303800;0;110000;0;299447;2250;4480;4319;
201802;0;32200;17854;17854;2909601;270166;0;0;0;90283;0;3980;6010;
201802;1;30100;17621;18121;2706789;2509317;0;14583;0;1242037;3000;3980;6010;
201802;2;29100;16098;17590;2610178;1392000;0;0;0;242873;0;3980;6010;
201802;3;28400;15200;17500;2541212;1379133;0;0;0;231921;0;3980;6010;
201802;4;28300;12999;14627;2544456;871249;0;0;0;229477;0;4000;6716;
201802;5;28700;15280;15400;2562218;226268;0;0;0;127772;0;4000;6716;
201802;6;29900;17521;17521;2702651;;;;;;;4000;6716;
201802;7;32400;17800;17980;2813569;1399616;0;12917;0;887273;0;4000;6716;
201802;8;36700;17506;18006;3248284;2107066;0;200000;0;791200;1750;4800;5800;
201802;9;38300;20504;20504;3438565;485798;0;225200;0;25470;148;4800;5800;
201802;10;38300;20479;20479;3471249;145517;0;94550;0;0;0;4800;5800;
201802;11;38600;20480;20480;3529683;0;0;13300;0;0;;4800;5800;
201802;12;36200;16301;16301;3332484;0;0;62466;0;0;447;4380;5489;
201802;13;36200;15299;15299;3315965;116666;0;156566;0;0;1690;4380;5489;
201802;14;36500;16098;17290;3352279;1234884;0;0;0;325126;0;4380;5489;
201802;15;36300;16098;17800;3318138;1684167;0;0;0;229670;0;4380;5489;
201802;16;36800;17301;18000;3335069;1735217;0;0;0;324267;0;4380;4880;
201802;17;37600;17506;18000;3422468;1612000;0;0;0;161200;0;4380;4880;
201802;18;38600;17506;18006;3487624;1229000;0;0;0;174000;0;4380;4880;
201802;19;38500;18228;19800;3447750;2023500;0;0;0;223507;0;4380;4880;
201802;20;37700;20164;20664;3354959;3202816;0;0;0;992433;0;4300;4880;
201802;21;36700;19999;20100;3252851;1896000;0;0;0;962900;0;4300;4880;
201802;22;35900;17500;18000;3230291;1202800;0;0;0;216590;0;4300;4880;
201802;23;34300;13000;16478;3103791;2138417;0;282751;0;327447;4930;4300;4880;
